Column1,Column2,Column3
0.28092541,0.910368483,0.692981881
0.719882356,0.210024068,0.761275905
0.235752084,0.059796296,0.154666599
0.603366269,0.485613971,0.013345018
0.039984755,0.23635865,0.811831655
0.015477555,0.543641078,0.112719455
0.192539541,0.409874285,0.875082455
0.380920604,0.045467708,0.515859398
0.592471369,0.786421216,0.047249291
0.072112054,0.695693851,0.409573205
0.898072384,0.070955866,0.209020179
0.722037525,0.211985375,0.32416377
0.51351671,0.091548133,0.664278563
0.436729245,0.04032155,0.548167037
0.86403942,0.963556275,0.106398423
0.72476104,0.410422452,0.587588772
0.198925759,0.245207416,0.767355948
0.748499886,0.01926363,0.04667836
0.92063933,0.212611457,0.520463188
0.452024209,0.123660036,0.847451134
0.542977219,0.265852298,0.41092586
0.35526598,0.860615556,0.589430678
0.142688163,0.406455779,0.204094594
0.850436476,0.129426291,0.719027319
0.443475757,0.388967455,0.596923518
0.467100409,0.41690809,0.09803679
0.338535845,0.935814224,0.736898857
0.942100966,0.772004561,0.441574273
0.570129995,0.780085263,0.085591592
